AVERAGE_FREE_FLOW_SPEED,AVERAGE_TIME_DIFF,AVERAGE_FREE_FLOW_TIME,LUMINOSITY,AVERAGE_TEMPERATURE,AVERAGE_ATMOSP_PRESSURE,AVERAGE_HUMIDITY,AVERAGE_WIND_SPEED,AVERAGE_CLOUDINESS,RAIN_INTENSITY,record_date_year,record_date_month,record_date_day,record_date_hour,day_of_week,AVERAGE_SPEED_DIFF,DEW_POINT,TEMP_MINUS_DP,DEW_POINT_BIN,hora_de_ponta,tipo_hora_de_ponta,is_holiday,is_event_day,supermarket_peak_level,periodo_aulas,fim_de_semana,hour_sin,hour_cos,dow_sin,dow_cos,month_sin,month_cos,congestion_ratio
42.5,14.1,75.1,0,18.0,1015.0,100.0,1.0,0,1,2019,8,25,22,6,2,18.0,0.0,4,0,0,0,0,0,0,1,-0.5000000000000004,0.8660254037844384,-0.7818314824680299,0.6234898018587334,-0.8660254037844385,-0.5000000000000004,0.18774966710801932
46.8,2.4,75.5,2,14.0,1017.0,100.0,11.0,0,0,2019,7,18,6,3,1,14.0,0.0,3,0,0,0,0,0,0,0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,-0.4999999999999997,-0.8660254037844388,0.03178807946977764
40.9,10.1,87.9,0,9.0,1017.0,81.0,5.0,2,0,2019,1,20,7,6,1,5.9,3.1,2,1,1,0,0,0,1,1,0.9659258262890683,-0.25881904510252063,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,0.11490329920233328
41.8,18.8,81.5,2,15.0,1021.0,67.0,2.0,1,0,2019,1,25,14,4,2,8.9,6.1,2,0,0,0,0,1,1,0,-0.4999999999999997,-0.8660254037844388,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,0.2306748466229365
45.1,4.0,78.0,0,12.0,1021.0,100.0,1.0,2,0,2019,9,27,4,4,0,12.0,0.0,3,0,0,0,0,0,0,0,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,-1.0,-1.8369701987210297e-16,0.05128205128139382
39.3,5.0,90.0,0,11.0,1023.0,100.0,4.0,3,0,2019,2,8,22,4,0,11.0,0.0,3,0,0,0,0,0,1,0,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001,0.05555555555493827
46.0,7.1,83.5,0,18.0,1016.0,40.0,5.0,0,0,2019,9,8,5,6,0,4.2,13.8,1,0,0,0,1,0,0,1,0.9659258262890683,0.25881904510252074,-0.7818314824680299,0.6234898018587334,-1.0,-1.8369701987210297e-16,0.08502994011874215
37.5,0.8,67.8,0,11.0,1030.0,100.0,2.0,0,0,2018,12,9,22,6,0,11.0,0.0,3,0,0,0,0,0,1,1,-0.5000000000000004,0.8660254037844384,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0,0.011799410029324492
44.7,2.5,68.2,0,15.0,1024.0,87.0,6.0,3,0,2018,12,2,21,6,1,12.8,2.2,3,0,0,0,0,0,1,1,-0.7071067811865477,0.7071067811865474,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0,0.03665689149506368
35.7,10.9,105.3,2,16.0,1019.0,67.0,5.0,2,0,2019,2,17,14,6,1,9.9,6.1,2,0,0,0,0,0,1,1,-0.4999999999999997,-0.8660254037844388,-0.7818314824680299,0.6234898018587334,0.8660254037844386,0.5000000000000001,0.10351377017945382
43.3,4.8,84.7,0,15.0,1012.0,100.0,6.0,3,0,2018,11,10,22,5,1,15.0,0.0,3,0,0,0,1,0,1,1,-0.5000000000000004,0.8660254037844384,-0.9749279121818236,-0.2225209339563146,-0.5000000000000004,0.8660254037844384,0.0566706021244785
39.7,2.0,72.0,0,24.0,1020.0,32.0,4.0,0,0,2019,9,13,23,4,0,6.3,17.7,2,0,0,0,1,0,0,0,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,-1.0,-1.8369701987210297e-16,0.027777777777391974
40.9,35.9,77.7,2,20.0,1018.0,82.0,6.0,0,1,2019,4,29,16,0,2,16.8,3.2,4,0,0,0,0,0,1,0,-0.8660254037844385,-0.5000000000000004,0.0,1.0,0.8660254037844387,-0.4999999999999998,0.4620334620275156
43.0,30.7,89.3,0,22.0,1020.0,37.0,1.0,1,0,2018,10,3,19,2,2,6.6,15.4,2,1,2,0,1,2,1,0,-0.9659258262890684,0.2588190451025203,0.9749279121818236,-0.22252093395631434,-0.8660254037844386,0.5000000000000001,0.3437849943970461
43.1,113.5,86.2,2,22.0,1011.0,94.0,7.0,0,1,2019,8,8,18,3,4,21.0,1.0,4,1,2,0,0,2,0,0,-1.0,-1.8369701987210297e-16,0.43388373911755823,-0.900968867902419,-0.8660254037844385,-0.5000000000000004,1.316705336411639
40.8,25.9,81.9,0,14.0,1014.0,93.0,0.0,3,0,2018,10,26,19,4,3,12.9,1.1,3,1,2,0,0,2,1,0,-0.9659258262890684,0.2588190451025203,-0.433883739117558,-0.9009688679024191,-0.8660254037844386,0.5000000000000001,0.3162393162354549
35.6,26.7,89.8,2,22.0,1016.0,83.0,3.0,2,0,2019,7,13,19,5,2,19.0,3.0,4,1,2,0,0,2,0,1,-0.9659258262890684,0.2588190451025203,-0.9749279121818236,-0.2225209339563146,-0.4999999999999997,-0.8660254037844388,0.2973273942060431
33.8,136.9,93.6,2,20.0,1019.0,77.0,3.0,3,0,2018,8,13,12,0,3,15.8,4.2,4,0,0,0,0,1,0,0,1.2246467991473532e-16,-1.0,0.0,1.0,-0.8660254037844385,-0.5000000000000004,1.4626068375912116
37.9,2.5,64.7,0,15.0,1019.0,67.0,4.0,0,0,2019,5,25,2,5,0,8.9,6.1,2,0,0,0,0,0,1,1,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,-0.8660254037844387,0.038639876351798455
36.2,38.7,84.8,2,16.0,1019.0,100.0,1.0,0,0,2019,9,9,10,0,2,16.0,0.0,4,0,0,0,1,1,0,0,0.49999999999999994,-0.8660254037844387,0.0,1.0,-1.0,-1.8369701987210297e-16,0.45636792452292024
37.2,9.4,72.5,2,17.0,1019.0,72.0,2.0,0,0,2019,6,16,10,6,1,11.9,5.1,3,0,0,0,1,1,1,1,0.49999999999999994,-0.8660254037844387,-0.7818314824680299,0.6234898018587334,1.2246467991473532e-16,-1.0,0.12965517241200475
47.3,6.2,80.3,0,8.0,1025.0,100.0,1.0,2,0,2019,2,7,7,3,2,8.0,0.0,2,1,1,0,0,0,1,0,0.9659258262890683,-0.25881904510252063,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,0.07721046077114309
45.5,3.6,86.2,0,13.0,1018.0,93.0,2.0,0,0,2018,10,17,3,2,1,11.9,1.1,3,0,0,0,0,0,1,0,0.7071067811865476,0.7071067811865476,0.9749279121818236,-0.22252093395631434,-0.8660254037844386,0.5000000000000001,0.04176334106680089
45.3,1.4,81.6,0,13.0,1007.0,93.0,6.0,3,0,2018,11,7,2,2,0,11.9,1.1,3,0,0,0,0,0,1,0,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,-0.5000000000000004,0.8660254037844384,0.017156862744887782
41.4,14.2,77.1,0,18.0,1013.0,88.0,0.0,1,0,2018,8,1,23,2,1,16.0,2.0,4,0,0,0,0,0,0,0,-0.25881904510252157,0.9659258262890681,0.9749279121818236,-0.22252093395631434,-0.8660254037844385,-0.5000000000000004,0.184176394290737
37.3,13.0,91.4,2,21.0,1015.0,73.0,2.0,2,0,2018,8,15,19,2,1,16.0,5.0,4,1,2,1,0,2,0,0,-0.9659258262890684,0.2588190451025203,0.9749279121818236,-0.22252093395631434,-0.8660254037844385,-0.5000000000000004,0.14223194748203247
36.7,0.0,75.5,2,7.0,1032.0,100.0,1.0,2,0,2018,12,8,10,5,0,7.0,0.0,2,0,0,1,0,1,1,1,0.49999999999999994,-0.8660254037844387,-0.9749279121818236,-0.2225209339563146,-2.4492935982947064e-16,1.0,0.0
38.3,0.0,84.3,0,13.0,1026.0,100.0,0.0,0,0,2018,11,3,1,5,0,13.0,0.0,3,0,0,0,0,0,1,1,0.25881904510252074,0.9659258262890683,-0.9749279121818236,-0.2225209339563146,-0.5000000000000004,0.8660254037844384,0.0
34.2,36.3,92.5,2,21.0,1018.0,83.0,3.0,4,0,2018,9,18,13,1,2,18.0,3.0,4,0,0,0,0,1,1,0,-0.2588190451025208,-0.9659258262890683,0.7818314824680298,0.6234898018587336,-1.0,-1.8369701987210297e-16,0.39243243242818987
37.2,3.0,66.9,0,11.0,1020.0,87.0,4.0,4,0,2019,1,27,0,6,1,8.9,2.1,2,0,0,0,0,0,1,1,0.0,1.0,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,0.044843049326683954
48.2,1.4,82.9,0,11.0,1016.0,66.0,8.0,1,0,2018,10,27,6,5,1,4.9,6.1,1,0,0,0,0,0,1,1,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,-0.8660254037844386,0.5000000000000001,0.016887816646358408
46.0,131.7,61.5,2,16.0,1015.0,100.0,3.0,3,0,2019,6,19,8,2,4,16.0,0.0,4,1,2,0,0,1,1,0,0.8660254037844387,-0.4999999999999998,0.9749279121818236,-0.22252093395631434,1.2246467991473532e-16,-1.0,2.141463414599326
39.0,41.3,79.0,2,7.0,1021.0,100.0,1.0,1,0,2019,1,25,10,4,3,7.0,0.0,2,0,0,0,0,1,1,0,0.49999999999999994,-0.8660254037844387,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,0.5227848101199647
40.6,19.9,87.6,2,20.0,1019.0,82.0,4.0,3,0,2018,8,12,13,6,2,16.8,3.2,4,0,0,0,0,0,0,1,-0.2588190451025208,-0.9659258262890683,-0.7818314824680299,0.6234898018587334,-0.8660254037844385,-0.5000000000000004,0.22716894976909624
42.9,63.6,85.6,2,20.0,1018.0,73.0,2.0,1,0,2018,9,13,18,3,3,15.0,5.0,3,1,2,0,0,2,1,0,-1.0,-1.8369701987210297e-16,0.43388373911755823,-0.900968867902419,-1.0,-1.8369701987210297e-16,0.7429906541969277
47.4,0.0,85.9,0,9.0,1016.0,87.0,1.0,1,0,2018,10,5,6,4,0,6.9,2.1,2,0,0,1,0,0,1,0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,-0.8660254037844386,0.5000000000000001,0.0
39.1,0.0,72.0,0,13.0,1018.0,93.0,6.0,3,0,2019,1,24,0,3,0,11.9,1.1,3,0,0,0,0,0,1,0,0.0,1.0,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,0.0
40.2,31.3,88.9,1,14.0,1029.0,76.0,1.0,2,0,2019,2,27,18,2,3,9.8,4.2,2,1,2,0,0,2,1,0,-1.0,-1.8369701987210297e-16,0.9749279121818236,-0.22252093395631434,0.8660254037844386,0.5000000000000001,0.352080989872305
47.7,103.1,81.5,2,10.0,1020.0,76.0,5.0,0,0,2018,11,14,9,2,4,6.0,4.0,2,1,2,0,0,1,1,0,0.7071067811865476,-0.7071067811865475,0.9749279121818236,-0.22252093395631434,-0.5000000000000004,0.8660254037844384,1.2650306748311038
43.1,7.6,66.5,1,9.0,1024.0,87.0,2.0,2,0,2019,4,26,6,4,2,6.9,2.1,2,0,0,0,0,0,1,0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0.8660254037844387,-0.4999999999999998,0.1142857142839957
47.3,0.0,89.4,0,15.0,1014.0,88.0,2.0,1,0,2018,9,1,6,5,0,13.0,2.0,3,0,0,0,0,0,0,1,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,-1.0,-1.8369701987210297e-16,0.0
37.3,6.9,78.8,2,28.0,1014.0,61.0,4.0,0,0,2019,7,10,19,2,1,19.8,8.2,4,1,2,0,0,2,0,0,-0.9659258262890684,0.2588190451025203,0.9749279121818236,-0.22252093395631434,-0.4999999999999997,-0.8660254037844388,0.08756345177553854
45.6,10.2,77.3,0,9.0,1005.0,87.0,10.0,0,3,2019,2,1,22,4,2,6.9,2.1,2,0,0,0,0,0,1,0,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001,0.13195342820010408
37.4,30.6,90.0,2,19.0,1016.0,77.0,0.0,3,0,2018,7,25,10,2,2,14.9,4.1,3,0,0,0,0,1,0,0,0.49999999999999994,-0.8660254037844387,0.9749279121818236,-0.22252093395631434,-0.4999999999999997,-0.8660254037844388,0.3399999999962222
34.8,0.0,88.4,2,17.0,1021.0,100.0,1.0,0,0,2018,9,9,9,6,0,17.0,0.0,4,1,2,0,0,0,0,1,0.7071067811865476,-0.7071067811865475,-0.7818314824680299,0.6234898018587334,-1.0,-1.8369701987210297e-16,0.0
44.2,2.6,77.6,0,12.0,1019.0,100.0,2.0,0,1,2019,9,29,4,6,0,12.0,0.0,3,0,0,0,0,0,0,1,0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,-1.0,-1.8369701987210297e-16,0.03350515463874349
44.3,111.9,86.4,2,5.0,1029.0,66.0,5.0,1,0,2019,2,13,9,2,4,-0.8,5.8,0,1,2,0,0,1,1,0,0.7071067811865476,-0.7071067811865475,0.9749279121818236,-0.22252093395631434,0.8660254037844386,0.5000000000000001,1.2951388888738988
38.9,2.5,69.5,0,12.0,1021.0,87.0,2.0,1,0,2019,4,11,20,3,0,9.9,2.1,2,1,1,0,0,2,0,0,-0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,0.8660254037844387,-0.4999999999999998,0.03597122302106516
45.0,0.0,80.6,0,14.0,1015.0,87.0,1.0,1,0,2018,8,26,2,6,0,11.9,2.1,3,0,0,0,0,0,0,1,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,-0.8660254037844385,-0.5000000000000004,0.0
37.4,20.6,76.5,2,21.0,1016.0,72.0,2.0,2,0,2019,6,25,13,1,2,15.7,5.3,4,0,0,0,0,1,0,0,-0.2588190451025208,-0.9659258262890683,0.7818314824680298,0.6234898018587336,1.2246467991473532e-16,-1.0,0.26928104574811396
37.6,1.9,84.9,0,18.0,1019.0,67.0,2.0,1,0,2018,10,1,20,0,0,11.8,6.2,3,1,1,0,0,2,1,0,-0.8660254037844386,0.5000000000000001,0.0,1.0,-0.8660254037844386,0.5000000000000001,0.022379269728829452
44.5,78.7,85.0,1,17.0,1017.0,67.0,0.0,3,0,2018,10,25,17,3,3,10.8,6.2,3,1,1,0,0,2,1,0,-0.9659258262890683,-0.25881904510252063,0.43388373911755823,-0.900968867902419,-0.8660254037844386,0.5000000000000001,0.9258823529302838
36.4,0.0,68.9,0,17.0,1018.0,82.0,1.0,0,0,2019,6,2,1,6,0,13.9,3.1,3,0,0,0,1,0,1,1,0.25881904510252074,0.9659258262890683,-0.7818314824680299,0.6234898018587334,1.2246467991473532e-16,-1.0,0.0
38.5,92.2,92.8,2,26.0,1020.0,69.0,6.0,0,0,2019,8,15,15,3,3,19.8,6.2,4,0,0,1,0,0,0,0,-0.7071067811865471,-0.7071067811865479,0.43388373911755823,-0.900968867902419,-0.8660254037844385,-0.5000000000000004,0.9935344827479146
45.3,38.8,87.0,2,30.0,1013.0,43.0,3.0,1,0,2018,8,2,18,3,3,16.0,14.0,4,1,2,0,0,2,0,0,-1.0,-1.8369701987210297e-16,0.43388373911755823,-0.900968867902419,-0.8660254037844385,-0.5000000000000004,0.44597701148912666
32.9,24.1,88.8,2,21.0,1013.0,88.0,4.0,3,0,2019,7,3,10,2,2,18.9,2.1,4,0,0,0,0,1,0,0,0.49999999999999994,-0.8660254037844387,0.9749279121818236,-0.22252093395631434,-0.4999999999999997,-0.8660254037844388,0.2713963963933401
33.7,7.0,70.8,2,15.0,1016.0,67.0,4.0,2,0,2019,5,18,13,5,1,8.9,6.1,2,0,0,0,1,0,1,1,-0.2588190451025208,-0.9659258262890683,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,-0.8660254037844387,0.09887005649577867
41.9,0.0,73.8,0,14.0,1023.0,100.0,0.0,0,0,2018,12,3,21,0,0,14.0,0.0,3,0,0,0,0,0,1,0,-0.7071067811865477,0.7071067811865474,0.0,1.0,-2.4492935982947064e-16,1.0,0.0
49.6,4.1,86.1,0,15.0,1021.0,87.0,8.0,0,0,2019,8,14,1,2,0,12.8,2.2,3,0,0,0,0,0,0,0,0.25881904510252074,0.9659258262890683,0.9749279121818236,-0.22252093395631434,-0.8660254037844385,-0.5000000000000004,0.04761904761849455
40.7,3.6,83.4,2,14.0,1012.0,55.0,3.0,1,0,2019,3,31,9,6,1,5.1,8.9,2,1,2,0,0,0,1,1,0.7071067811865476,-0.7071067811865475,-0.7818314824680299,0.6234898018587334,1.0,6.123233995736766e-17,0.043165467625381704
40.5,5.0,81.8,0,14.0,1015.0,100.0,2.0,0,0,2019,9,18,6,2,2,14.0,0.0,3,0,0,0,1,0,0,0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,-1.0,-1.8369701987210297e-16,0.06112469437578087
44.5,43.3,81.3,1,20.0,1021.0,82.0,5.0,1,0,2018,9,21,18,4,3,16.8,3.2,4,1,2,0,0,2,1,0,-1.0,-1.8369701987210297e-16,-0.433883739117558,-0.9009688679024191,-1.0,-1.8369701987210297e-16,0.5325953259467086
39.3,22.3,79.0,2,24.0,1015.0,73.0,4.0,0,0,2019,7,9,19,1,3,18.8,5.2,4,1,2,0,0,2,0,0,-0.9659258262890684,0.2588190451025203,0.7818314824680298,0.6234898018587336,-0.4999999999999997,-0.8660254037844388,0.2822784810090851
36.0,59.6,87.9,2,25.0,1015.0,82.0,6.0,0,0,2019,7,19,15,4,3,21.7,3.3,4,0,0,0,0,0,0,0,-0.7071067811865471,-0.7071067811865479,-0.433883739117558,-0.9009688679024191,-0.4999999999999997,-0.8660254037844388,0.678043230936541
34.9,7.9,92.3,0,18.0,1016.0,93.0,2.0,2,0,2019,7,6,23,5,1,16.8,1.2,4,0,0,0,0,0,0,1,-0.25881904510252157,0.9659258262890681,-0.9749279121818236,-0.2225209339563146,-0.4999999999999997,-0.8660254037844388,0.0855904658712287
41.9,0.0,87.0,0,14.0,1017.0,100.0,1.0,0,0,2018,9,14,5,4,0,14.0,0.0,3,0,0,0,1,0,1,0,0.9659258262890683,0.25881904510252074,-0.433883739117558,-0.9009688679024191,-1.0,-1.8369701987210297e-16,0.0
44.2,37.5,73.3,0,11.0,1012.0,87.0,5.0,0,0,2018,11,22,20,3,3,8.9,2.1,2,1,1,0,0,2,1,0,-0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,-0.5000000000000004,0.8660254037844384,0.511596180074876
35.0,5.9,77.1,0,7.0,1020.0,93.0,2.0,3,0,2019,1,15,21,1,0,5.9,1.1,2,0,0,0,0,0,1,0,-0.7071067811865477,0.7071067811865474,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387,0.07652399481094004
37.5,60.8,90.4,2,22.0,1019.0,94.0,3.0,0,2,2018,7,30,15,0,3,21.0,1.0,4,0,0,0,0,0,0,0,-0.7071067811865471,-0.7071067811865479,0.0,1.0,-0.4999999999999997,-0.8660254037844388,0.6725663716739759
39.4,33.4,88.6,2,22.0,1017.0,69.0,2.0,1,0,2018,8,1,11,2,2,16.0,6.0,4,0,0,0,0,0,0,0,0.258819045102521,-0.9659258262890682,0.9749279121818236,-0.22252093395631434,-0.8660254037844385,-0.5000000000000004,0.3769751692959709
41.0,81.3,83.5,2,20.0,1020.0,77.0,1.0,3,0,2019,9,29,18,6,3,15.8,4.2,4,1,2,0,0,1,0,1,-1.0,-1.8369701987210297e-16,-0.7818314824680299,0.6234898018587334,-1.0,-1.8369701987210297e-16,0.9736526945991179
47.9,0.0,71.6,0,10.0,1019.0,81.0,6.0,2,0,2018,11,28,22,2,0,6.9,3.1,2,0,0,0,1,0,1,0,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434,-0.5000000000000004,0.8660254037844384,0.0
41.6,10.9,78.2,2,16.0,1013.0,77.0,7.0,0,0,2019,6,12,19,2,2,12.0,4.0,3,1,2,0,0,2,1,0,-0.9659258262890684,0.2588190451025203,0.9749279121818236,-0.22252093395631434,1.2246467991473532e-16,-1.0,0.13938618925652957
39.6,11.0,82.9,2,13.0,1011.0,93.0,9.0,4,0,2018,11,6,11,1,2,11.9,1.1,3,0,0,0,1,0,1,0,0.258819045102521,-0.9659258262890682,0.7818314824680298,0.6234898018587336,-0.5000000000000004,0.8660254037844384,0.13268998793567321
39.6,35.9,88.3,2,19.0,1020.0,68.0,7.0,1,0,2018,8,29,18,2,2,13.0,6.0,3,1,2,0,0,2,0,0,-1.0,-1.8369701987210297e-16,0.9749279121818236,-0.22252093395631434,-0.8660254037844385,-0.5000000000000004,0.4065685164166866
40.9,117.7,82.9,2,24.0,1022.0,49.0,8.0,0,0,2019,9,11,17,2,3,12.6,11.4,3,1,1,0,1,2,0,0,-0.9659258262890683,-0.25881904510252063,0.9749279121818236,-0.22252093395631434,-1.0,-1.8369701987210297e-16,1.4197828709117033
48.3,0.0,77.2,0,17.0,1009.0,82.0,4.0,3,0,2019,9,21,3,5,0,13.9,3.1,3,0,0,0,1,0,0,1,0.7071067811865476,0.7071067811865476,-0.9749279121818236,-0.2225209339563146,-1.0,-1.8369701987210297e-16,0.0
43.2,2.8,84.3,0,18.0,1023.0,64.0,2.0,0,0,2019,9,13,3,4,0,11.1,6.9,3,0,0,0,1,0,0,0,0.7071067811865476,0.7071067811865476,-0.433883739117558,-0.9009688679024191,-1.0,-1.8369701987210297e-16,0.033214709370898994
41.9,2.0,69.2,0,12.0,1015.0,76.0,3.0,0,0,2019,5,19,22,6,0,7.9,4.1,2,0,0,0,1,0,1,1,-0.5000000000000004,0.8660254037844384,-0.7818314824680299,0.6234898018587334,0.49999999999999994,-0.8660254037844387,0.028901734103628583
44.2,0.0,82.0,0,8.0,1012.0,100.0,1.0,2,0,2018,11,12,6,0,0,8.0,0.0,2,0,0,0,0,0,1,0,1.0,6.123233995736766e-17,0.0,1.0,-0.5000000000000004,0.8660254037844384,0.0
47.1,0.0,70.9,0,14.0,1023.0,93.0,6.0,0,0,2018,12,3,3,0,0,12.9,1.1,3,0,0,0,0,0,1,0,0.7071067811865476,0.7071067811865476,0.0,1.0,-2.4492935982947064e-16,1.0,0.0
37.8,45.4,65.4,2,17.0,1016.0,82.0,1.0,2,0,2019,6,17,9,0,3,13.9,3.1,3,1,2,0,0,1,1,0,0.7071067811865476,-0.7071067811865475,0.0,1.0,1.2246467991473532e-16,-1.0,0.6941896024358686
41.3,16.5,81.9,2,18.0,1021.0,88.0,2.0,0,0,2018,9,9,14,6,2,16.0,2.0,4,0,0,0,0,0,0,1,-0.4999999999999997,-0.8660254037844388,-0.7818314824680299,0.6234898018587334,-1.0,-1.8369701987210297e-16,0.20146520146274155
32.8,15.2,83.0,2,21.0,1016.0,93.0,3.0,3,0,2019,7,15,13,0,1,19.8,1.2,4,0,0,0,0,1,0,0,-0.2588190451025208,-0.9659258262890683,0.0,1.0,-0.4999999999999997,-0.8660254037844388,0.1831325301182755
43.1,0.0,71.3,0,16.0,1018.0,93.0,1.0,3,0,2019,6,3,3,0,0,14.9,1.1,3,0,0,0,0,0,1,0,0.7071067811865476,0.7071067811865476,0.0,1.0,1.2246467991473532e-16,-1.0,0.0
43.6,4.3,76.9,0,16.0,1017.0,93.0,1.0,1,0,2018,8,13,22,0,0,14.9,1.1,3,0,0,0,0,0,0,0,-0.5000000000000004,0.8660254037844384,0.0,1.0,-0.8660254037844385,-0.5000000000000004,0.055916775031782606
35.8,1.5,72.3,0,15.0,1011.0,72.0,3.0,0,0,2019,5,3,23,4,0,10.0,5.0,2,0,0,0,0,0,1,0,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,0.49999999999999994,-0.8660254037844387,0.020746887966518024
42.1,0.0,75.9,0,9.0,1022.0,54.0,6.0,1,0,2018,12,11,1,1,0,0.2,8.8,1,0,0,0,0,0,1,0,0.25881904510252074,0.9659258262890683,0.7818314824680298,0.6234898018587336,-2.4492935982947064e-16,1.0,0.0
